tweet_id,created_at,full_text,sentiment
0,2020-01-24 09:59:17+00:00,"RT @PravitR: There’s​ a derogatory saying that Chinese eats everything with four legs except table. After the Wuhan virus spread, South Chi…",Fear
1,2020-01-24 09:59:17+00:00,"RT @ConflictsW: Reports that the Chinese Army (PLA) has been deployed in Wuhan to assist with the lockdown of the city
#China #Wuhan #Coron…",Neutral
2,2020-01-24 09:59:17+00:00,"RT @lokinhei: that is how authorities protect its own citizens. Not like Hong Kong.

https://t.co/sWiS8fyubd",Anger
3,2020-01-24 09:59:18+00:00,Are u sharing ur expertise of what a failure leader is at the Forum?  Or r u just spreeding the Wuhan coronavirus to the world?  WTF u r doing when u should be dealing with Chinese coronavirus in Hong Kong.  #StandWithHongKong #FightForFreedom #FiveDemandsNotOneLess https://t.co/FsjEDKqUsU,Fear
4,2020-01-24 09:59:19+00:00,"RT @Woppa1Woppa: Philippines is sending the Chinese back to Wuhan to prevent #coronavirus from spreading.  Hey Carrie Lam, why don't you tr…",Fear
5,2020-01-24 09:59:20+00:00,RT @MailOnline: China built a lab to study SARS and Ebola in Wuhan - and US biosafety experts warned in 2017 that a virus could 'escape' th…,Neutral
6,2020-01-24 09:59:20+00:00,RT @RichardBarrow: A 73-year-old woman is the first Thai to test positive for coronavirus. The patient fell ill shortly after returning fro…,Neutral
7,2020-01-24 09:59:20+00:00,RT @maxwalden_: Singapore confirms first case of Wuhan virus https://t.co/kcpE3XnOsI,Neutral
8,2020-01-24 09:59:20+00:00,"RT @nytimes: Video: In Wuhan, where the outbreak began, anxiety and anger prevailed as worried residents crowded into hospitals and teams o…",Neutral
9,2020-01-24 09:59:21+00:00,RT @RichardBarrow: Should we be worried about coronavirus in #Thailand? Yes and no. The chance of people getting the virus is low. Even tho…,Fear
10,2020-01-24 09:59:22+00:00,"RT @DrDenaGrayson: 🚨BREAKING: virologist who helped identify SARS says a bigger #CoronavirusOutbreak is “certain,” “conservatively” estimat…",Neutral
11,2020-01-24 09:59:22+00:00,RT @rachel_cheung1: Philippines is repatriating all Chinese tourists who arrived from Wuhan before the city's put under lockdown.  https://…,Neutral
12,2020-01-24 09:59:23+00:00,"RT @manyapan: Medical staff at the dedicated isolation ward of Wuhan's People's Hospital wish everyone a Happy New Year, saying: ""We're her…",Neutral
13,2020-01-24 09:59:23+00:00,"RT @Dystopia992: #WuhanPneumonia — unverified video in #Wuhan train station🇨🇳

#CCPChina LOCKING DOWN at least 7 cites by far, as #coronavi…",Neutral
14,2020-01-24 09:59:25+00:00,Hospital in Wuhan. People are waiting to be treated with supposedly dead bodies in the same space. They are desperate. https://t.co/BCuHEp6Uki,Fear
15,2020-01-24 09:59:27+00:00,"RT @CNN: The CDC has raised its travel advisory for Wuhan, China, to the highest level. The ""Warning - Level 3"" status urges travelers to a…",Neutral
16,2020-01-24 09:59:27+00:00,"RT @TeaEriksson1: Oshbar together with other Sehun fanbases send aid to Wuhan coronavirus outbreak!👏👏
#세훈 #SEHUN #吴世勋 https://t.co/0zbflitA…",Joy
17,2020-01-24 09:59:27+00:00,"RT @Telegraph: In response to the outbreak of a new, rapidly spreading Coronavirus in Wuhan, the Chinese government are building a new 1000…",Neutral
18,2020-01-24 09:59:29+00:00,"RT @Bobo82749034: As a Chinese child, #WangYibo fans follow Wang Yibo's footsteps to send a lot of supplies to Wuhan at the same time, cont…",Joy
19,2020-01-24 09:59:29+00:00,RT @businessinsider: One image from Wuhan shows the sheer scale of trying to treat an entire city on lockdown for coronavirus with no known…,Neutral
20,2020-01-24 09:59:29+00:00,"Chinese woman becomes Thailand’s 5th confirmed case of Wuhan virus #ไวรัสโคโรนา #WuhanCoronavirus 
https://t.co/X4alDpfhBc",Neutral
21,2020-01-24 09:59:31+00:00,"RT @andsarj: As our knowledge of #coronavirus and this outbreak grows, what - crucially - happens next in the #globalhealth response? 🌏💡

A…",Fear
22,2020-01-24 09:59:32+00:00,"RT @badiucao: video from a Wuhan  hospital，patient collapes on the ground.

#WuhanPneumonia #wuhan

https://t.co/ogD2D2ZrJH",Neutral
23,2020-01-24 09:59:32+00:00,"RT @violazhouyi: All those Weibo posts coming out of Wuhan have made the new year so depressing:
A woman said her mother had fever but coul…",Fear
24,2020-01-24 09:59:32+00:00,RT @PHE_uk: 📒NEW BLOG: Wuhan novel coronavirus: what you need to know https://t.co/9vOzpEOscA,Fear
25,2020-01-24 09:59:32+00:00,"RT @htommy998: #WuhanCoronavirus 
#WuhanPneumonia 

Due to Chinese gov’e censorship on Wuhan Coronovirus, patients might already spread all…",Fear
26,2020-01-24 09:59:32+00:00,RT @ChuBailiang: I’ll be tweeting from Wuhan Friday. And please remember we have a large team keeping you up to date on the virus outbreak…,Neutral
27,2020-01-24 09:59:33+00:00,"RT @9lisa77_: Because the recent epidemic in Wuhan has affected people's hearts, lisa bar donated 10,000 disposable hoods, 10,000 disposabl…",Surprise
28,2020-01-24 09:59:34+00:00,@NewshubNZ How did they get through the Wuhan lockdown?,Surprise
29,2020-01-24 09:59:34+00:00,RT @xsunset: #wuhan #coronovirus A Chinese nursery cried that three bodies laid down on the hospital . no one has time to take care of them…,Sadness
30,2020-01-24 09:59:35+00:00,"RT @AuroraIntel: Reported video from inside a hospital in #Wuhan, #China today. https://t.co/WTcqIlId62",Neutral
31,2020-01-24 09:59:35+00:00,RT @YikaiLuo: A SARS-like #coronavirus is rapidly spreading in China and potentially abroad because some people in Wuhan were obsessed with…,Fear
32,2020-01-24 09:59:36+00:00,RT @CNN: Snakes — the Chinese krait and the Chinese cobra — may be the original source of the newly discovered coronavirus that has trigger…,Neutral
33,2020-01-24 09:59:37+00:00,RT @MerlotN: The punishment for escaping Wuhan can be jail for as high as seven years. #WuhanCoronavirus #citylockdown https://t.co/51oM6Ra…,Neutral
34,2020-01-24 09:59:37+00:00,"RT @ttindia: China is swiftly building a hospital dedicated to treating patients infected with a new virus that has killed 26 people, sicke…",Neutral
35,2020-01-24 09:59:38+00:00,China locks down 10 cities as death toll from coronavirus rises to 26 https://t.co/H8Uhis1Wcr,Neutral
36,2020-01-24 09:59:38+00:00,Did patient zero really catch new Chinese virus by eating infected bat soup? It’s actually perfectly possible https://t.co/28SCR7ERaE,Surprise
37,2020-01-24 09:59:41+00:00,RT @gobeforeyou: What did Wuhan wet market in China do made God so angry to strike the region with coronavirus now?! These clips have the a…,Fear
38,2020-01-24 09:59:41+00:00,"@MemetTohti This photo shows the flight schedule from #Wuhan city spreading #WuhanSARS , all the flights cancelled except #Urumchi city, the capital of #East_Turkistan, I strongly doubt about #CCP planning to spread the #VirusChina to #Uyghurs.",Surprise
39,2020-01-24 09:59:41+00:00,"RT @Terrence_STR: Wuhan China 🇨🇳

Corona Virus Update⚠️ 
Disturbing  Leaked Video shows People literally falling over as they succumb to Vi…",Fear
40,2020-01-24 09:59:41+00:00,"RT @suixiaoxin: #Wuhan  China gonna to build a hospital within 6 days, yes,within 6 days! https://t.co/mlWiqDHDFQ",Surprise
41,2020-01-24 09:59:42+00:00,"RT @chu4njun: #UNINE's biggest fansite 零度沸点 has donated 1000 N95 &amp; 10000 surgical masks to Wuhan Hankou Hospital, as well as 999rmb to Wuha…",Neutral
42,2020-01-24 09:59:43+00:00,"RT @nikki_miumiu: Sometimes I don’t really know what #HongKong communist govt thinking. When @WHO having emergency meeting, #Wuhan city is…",Fear
43,2020-01-24 09:59:44+00:00,"RT @DrJasonLeong: In light of the Wuhan virus panic, I would like to urge all tourists and visitors from China to...
.
.
.
.
.
.

BALIK CHI…",Neutral
44,2020-01-24 09:59:46+00:00,"RT @MarionKoopmans: China coronavirus outbreak: everything you need to know - The Verge. Good info, clearly presented https://t.co/V3lkq0b9…",Fear
45,2020-01-24 09:59:46+00:00,RT @LGAWellbeing: Wuhan novel coronavirus: what you need to know - important briefing via ⁦@PHE_uk⁩  https://t.co/1ByxDF1YNy,Neutral
46,2020-01-24 09:59:46+00:00,RT @ZeroT_H: @ScribeUndead Corona Wuhan-chan is your last waifu https://t.co/tIYvV41bqA,Fear
